STT,main keyword,Link docs Bài viết,Categories,Tags,Duyệt đăng,Trạng thái,Link nháp
1,test Rackcosmo,https://docs.google.com/document/d/1tA_4WjRQ6mnZ6Uwxq6H7rq27NUdMSrpkQZ9G3-ja5Z4/edit?tab=t.0#heading=h.5wwx7okov992,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=1917
2,kệ drive in,https://docs.google.com/document/d/1xP3fLHbpW5oTUvgjQNrIPe0bENIiuYQP2t7qNEfVgxs/edit?usp=sharing,,,FALSE,,
3,kệ công nghiệp,https://docs.google.com/document/d/1I9cwdSrHb0yAMHx0FlOH_nJNXYZnXgPH8B7LVFVoX38/edit?usp=sharing,,,FALSE,,
4,kệ kho hàng,https://docs.google.com/document/d/1VrA5LaY7IERivqoAJi1JQ546OWcdWEltMVJI2FKl8oQ/edit?usp=sharing,,,FALSE,,
5,Kệ trung tải,https://docs.google.com/document/d/14lV24IGJAdaSRAvxD3XfGGWigQyJkVR25vWq9nRTSH8/edit?usp=sharing,,,FALSE,,
6,cách lắp kệ trung tải,https://docs.google.com/document/d/1naxkwLnIB4AZ5JVEzRNEcVHyPTIziZXrQ2PTd0IOukg/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2349
7,kệ kho hàng,https://docs.google.com/document/d/1VrA5LaY7IERivqoAJi1JQ546OWcdWEltMVJI2FKl8oQ/edit?usp=sharing,,,FALSE,,
8,mẫu kệ bán hàng,https://docs.google.com/document/d/1tA_4WjRQ6mnZ6Uwxq6H7rq27NUdMSrpkQZ9G3-ja5Z4/edit?usp=sharing,,,FALSE,,
9,kệ để hàng nặng,https://docs.google.com/document/d/1FdpTBwgPodZj4EpEE1KrqQZxMwQtova6hc6r7aJ24cs/edit?usp=sharing,,,FALSE,,
10,kệ kho hàng nặng,https://docs.google.com/document/d/1BSJX5jVa1dIFXc_pYrGwMPXX7UFYXdebXAwBo5Q0lo8/edit?usp=sharing,,,FALSE,,
11,kệ selective,https://docs.google.com/document/d/1RniiIuGpjNcSGZ6xGWz47i07Sgs1V2zuJZy8gSAZ9p8/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2417
12,kích thước kệ trung tải,https://docs.google.com/document/d/1AeFelskzGQ9TAXc523hQS3Myv6jawepiqZlsVWhPcJM/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2423
13,kích thước kệ trung tải - test,https://docs.google.com/document/d/1easshlBQF-8iBFie-h_lkFAHbu2xH8GB9VER_Xsjy4c/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2644
14,giá kệ kho công nghiệp,https://docs.google.com/document/d/1aL_3-ChDRzj23QqjZDRPMj5fAixRBvGBnwE0_QofvrA/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2660
15,kệ kho di động,https://docs.google.com/document/d/1diq6_lgMuh5CPm7-S92o-RN-Tp6m04jodVaHVg0dc6w/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2669
16,kệ push back,https://docs.google.com/document/d/1qln28A6R5VkaKP0VC1zFVI1E536pH5R8Nl_rrGDaAlc/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2652
17,kệ sàn mezzanine,https://docs.google.com/document/d/1fwV4f2QJ-Z7iABEuo2IG0dWca8JCE8CHFr7CyuNDgCA/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2743
18,kệ radio shuttle,https://docs.google.com/document/d/1-cBH0b_CGQKF9EhBP0FlMD9xotRlQ935FbYJ652_5vk/edit?tab=t.0#heading=h.5wwx7okov992,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2686
19,kệ tay đỡ,https://docs.google.com/document/d/16ocIgG9fteclbruIbIkKyxA4DKpTplThBcw6SW9H5Dc/edit?tab=t.0#heading=h.5wwx7okov992,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2695
20,Kệ Narrow Aisle,https://docs.google.com/document/d/1eLxoOuMvCnWQ26z71uTSZHzS8NxMLNlR7OOkxfn0PW4/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2704
21,kệ con lăn,https://docs.google.com/document/d/1xrO6HUWStt0ySMJTTaENWQQLhq-Ra2VLy6FKNTDP8zY/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2763
22,kệ double deep là gì,https://docs.google.com/document/d/1Rr8kN-VXxF_4Z-2vauPYkwvkxrRh-HTsMK4s0l1TIj4/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2783
23,kệ kho lạnh,https://docs.google.com/document/d/1nZePM6Uvhs7PrcrdFavWTAW75ttkalolLbCMmA0h-UU/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2808
24,kệ kho thông minh,https://docs.google.com/document/d/1Q1s5icwo5-K3059J74OaVNcPilR6a1EPd1AcP4k7xJ8/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2833
25,báo giá kệ sắt,https://docs.google.com/document/d/19Fo7PUYiP4p6RIap0JXUSivy8w5g5BVM7dx9ET7aN7o/edit?usp=sharing,,,TRUE,Đã đăng tự động,https://rackcosmo.com/?p=2856
